Sno,QuesAnsNo,Cosine_Sim,Jaccard_Sim,Manhattan_Dis,Euclidean_Dis,Wordnet_wup_sim,Wordnet_path_sim,wordnet_res_sim,Word_jcn_sim,Wordnet_lin_sim,Wordnet_lch_sim,Bi_gram,embed_glove,embed_sim,embed_b,lengthRatio,embed_glove_ques,lsa,Recall,Precision,PreRec,countch,countch1,countwd1,commonw,Diff,DiffDiv,DiffDiv1,SentRatio,Score
41,12,0.094491118,0.0625,18,30,0.75,0.32,5.62,1.54E+299,0.58,2.26,0,0.95,0.371952974,0.956540311,2.857142857,0.24,0.56248259,0.153846154,0.4,0.061538462,0.459183673,2.177777778,0.384615385,2,8,0.123076923,0.615384615,0,2
42,12,0.133630621,0.071428571,16,28,0.5,0.25,3.24,7.69E+298,0.36,1.75,0,0.85,0.275719984,0.956498463,4,0.05,0.887161906,0.153846154,0.666666667,0.102564103,0.163265306,6.125,0.230769231,2,10,0.256410256,0.769230769,0,3
43,12,0.327326835,0.19047619,20,28,0.91,0.7,7.62,6.15E+299,0.84,3.05,0.117647059,0.99,0.431224655,0.988639012,1.333333333,0.26,0.999648789,0.384615385,0.384615385,0.147928994,0.979591837,1.020833333,1,5,0,0,0,0,1.5
44,12,0.259375688,0.137931034,33,53,0.91,0.71,7.89,6.15E+299,0.84,3.1,0,0.99,0.617992051,0.991992891,0.540540541,0.42,0.96407954,0.384615385,0.277777778,0.106837607,1.816326531,0.550561798,1.384615385,5,5,0.021367521,0.384615385,3,5
45,12,0.169030851,0.125,17,29,0.75,0.33,5.43,1.54E+299,0.59,2.3,0.058823529,0.94,0.352065518,0.981237197,2.5,0.15,0.83971821,0.230769231,0.5,0.115384615,0.448979592,2.227272727,0.461538462,3,7,0.08974359,0.538461538,0,3.5
46,12,0.097590007,0.076923077,27,39,0.81,0.44,6.01,2.31E+299,0.71,2.48,0,0.98,0.352222657,0.990590445,1.111111111,0.26,0.980474035,0.230769231,0.1875,0.043269231,1.020408163,0.98,1.230769231,3,3,0.014423077,0.230769231,0,1.5
47,12,0.094491118,0.0625,18,30,0.75,0.32,5.62,1.54E+299,0.58,2.26,0,0.95,0.371952974,0.956540311,2.857142857,0.24,0.56248259,0.153846154,0.4,0.061538462,0.459183673,2.177777778,0.384615385,2,8,0.123076923,0.615384615,0,2.5
48,12,0.126773138,0.111111111,28,42,0.83,0.5,6.92,2.31E+299,0.81,2.63,0,0.99,0.480883698,0.992939701,0.833333333,0.27,0.965733909,0.307692308,0.222222222,0.068376068,1.418367347,0.705035971,1.384615385,4,5,0.021367521,0.384615385,1,1.5
49,12,0.094491118,0.0625,18,30,0.7,0.26,4.11,7.69E+298,0.46,2.1,0,0.94,0.352065518,0.974489637,2.857142857,0.15,0.793211369,0.153846154,0.4,0.061538462,0.397959184,2.512820513,0.384615385,2,8,0.123076923,0.615384615,0,3
50,12,0.21821789,0.142857143,15,27,0.6,0.32,4.82,1.54E+299,0.48,1.98,0,0.88,0.444601699,0.963429105,3.333333333,0.17,0.926326406,0.230769231,0.75,0.173076923,0.204081633,4.9,0.307692308,3,9,0.173076923,0.692307692,0,5
51,12,0.094491118,0.0625,18,30,0.7,0.26,4.11,7.69E+298,0.46,2.1,0,0.94,0.352065518,0.974489637,2.857142857,0.15,0.793211369,0.153846154,0.4,0.061538462,0.397959184,2.512820513,0.384615385,2,8,0.123076923,0.615384615,0,3.5
52,12,0.09166985,0.1,23,41,0.78,0.34,5.65,1.54E+299,0.62,2.34,0,0.97,0.395275735,0.976257962,1.428571429,0.17,0.979279224,0.230769231,0.3,0.069230769,0.724489796,1.38028169,0.769230769,3,3,0.023076923,0.230769231,0,1
53,12,0.056980288,0.043478261,25,37,0.6,0.25,3.5,7.69E+298,0.4,1.89,0,0.98,0.331928059,0.961899728,0.526315789,0.11,0.997863065,0.153846154,0.166666667,0.025641026,1.724489796,0.579881657,0.923076923,2,1,0.006410256,0.076923077,8,2.5
54,12,0.524142418,0.125,15,21,0.84,0.57,6.4,4.62E+299,0.72,2.76,0,0.95,0.352065518,0.990250682,2,0.15,0.820314467,0.230769231,0.5,0.115384615,0.581632653,1.719298246,0.461538462,3,7,0.08974359,0.538461538,0,3.5
55,12,0.130066495,0.083333333,27,41,0.82,0.4,6.1,1.54E+299,0.69,2.53,0.058823529,0.99,0.274382776,0.985897687,1.176470588,0.2,0.894450453,0.230769231,0.230769231,0.053254438,0.87755102,1.139534884,1,3,0,0,0,0,2
56,12,0.267261242,0.153846154,14,26,0.58,0.31,4.4,1.54E+299,0.44,1.92,0,0.7,0.3435704,0.905298347,4,0.11,0.992080916,0.230769231,1,0.230769231,0.132653061,7.538461538,0.230769231,3,10,0.256410256,0.769230769,0,3
57,12,0.201455741,0.1,30,40,0.89,0.65,7.25,5.38E+299,0.82,2.97,0,0.97,0.512117008,0.984525972,0.869565217,0.2,0.996419524,0.307692308,0.2,0.061538462,1.551020408,0.644736842,1.538461538,4,7,0.026923077,0.538461538,0,1.5
58,13,0.060192927,0.024390244,53,93,0.94,0.67,8.31,5.00E+299,0.94,3.09,0,1,0.396269351,0.965786517,0.095238095,0.24,0.843776176,0.5,0.051282051,0.025641026,11.18181818,0.089430894,9.75,2,35,0.224358974,8.75,3,4.5
59,13,0.064549722,0.032258065,39,81,0.9,0.62,8.59,5.00E+299,0.88,2.94,0,1,0.36689199,0.961337437,0.12,0.19,0.654271856,0.5,0.068965517,0.034482759,8.575757576,0.116607774,7.25,2,25,0.215517241,6.25,3,5
60,13,0.15430335,0.076923077,13,15,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.98,0.466691614,0.971960664,0.4,0.2,0.374176139,0.5,0.166666667,0.083333333,3.181818182,0.314285714,3,2,8,0.166666667,2,0,3.5
61,13,0.100503782,0.038461538,28,34,0.94,0.67,8.02,5.00E+299,0.84,3.09,0,1,0.42611149,0.975506264,0.15,0.21,0.992368851,0.5,0.08,0.04,7.878787879,0.126923077,6.25,2,21,0.21,5.25,3,2.5
62,13,0.182574186,0.083333333,11,11,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.97,0.475296385,0.973364622,0.461538462,0.2,0.260679767,0.5,0.181818182,0.090909091,2.666666667,0.375,2.75,2,7,0.159090909,1.75,0,3.5
63,13,0.0949158,0.055555556,22,38,0.92,0.67,8.31,5.00E+299,0.94,3.09,0,0.98,0.427962714,0.966182875,0.24,0.24,0.995741497,0.5,0.133333333,0.066666667,4.484848485,0.222972973,3.75,2,11,0.183333333,2.75,1,1
64,13,0.160128154,0.083333333,12,14,0.91,0.67,7.35,5.00E+299,0.81,3.09,0,1,0.477911902,0.968534461,0.428571429,0.33,0.998809349,0.5,0.181818182,0.090909091,3.303030303,0.302752294,2.75,2,7,0.159090909,1.75,0,4
65,13,0.140028008,0.0625,16,18,0.94,0.67,7.37,5.00E+299,0.84,3.09,0,1,0.359546725,0.976615459,0.25,0.11,0.98432449,0.5,0.133333333,0.066666667,5.454545455,0.183333333,3.75,2,11,0.183333333,2.75,2,2.5
66,13,0.577350269,0.4,3,3,0.7,0.57,5.48,5.00E+299,0.55,2.66,0,0.98,0.561638582,0.983223743,0.6,0.59,0.950600519,0.75,0.6,0.45,1.272727273,0.785714286,1.25,3,1,0.05,0.25,1,3
67,13,0.577350269,0.4,3,3,0.82,0.62,7.29,5.00E+299,0.72,2.94,0,1,0.548607697,0.983900221,0.857142857,0.59,0.840128612,0.75,0.6,0.45,1.151515152,0.868421053,1.25,3,1,0.05,0.25,0,4
68,13,0.074535599,0.029411765,41,61,0.9,0.67,7.69,5.00E+299,0.85,3.09,0,1,0.495553153,0.972188978,0.115384615,0.28,0.999668914,0.5,0.0625,0.03125,9.96969697,0.100303951,8,2,28,0.21875,7,3,5
69,13,0.204124145,0.1,9,9,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.97,0.466691614,0.976783052,0.545454545,0.2,0.170455312,0.5,0.222222222,0.111111111,2.03030303,0.492537313,2.25,2,5,0.138888889,1.25,0,3.5
70,13,0.21821789,0.111111111,8,8,0.92,0.62,8.31,5.00E+299,0.94,2.94,0,0.98,0.361089928,0.958631754,0.6,0.2,0.982643328,0.5,0.25,0.125,1.515151515,0.66,2,2,4,0.125,1,0,2
71,13,0.174077656,0.1,10,12,0.97,0.75,8.31,5.00E+299,0.94,3.29,0,0.95,0.479450104,0.978213233,0.5,0.3,0.982716152,0.5,0.222222222,0.111111111,2.212121212,0.452054795,2.25,2,5,0.138888889,1.25,0,3.5
72,13,0.174077656,0.076923077,12,12,0.92,0.67,9.02,5.00E+299,0.89,3.09,0,1,0.428136333,0.964904581,0.428571429,0.27,0.999946846,0.5,0.166666667,0.083333333,2.636363636,0.379310345,3,2,8,0.166666667,2,0,4.5
73,13,0.106752103,0.037037037,68,116,1,1,10.82,1.00E+300,1,3.64,0,1,0.423894363,0.964520606,0.071428571,0.62,0.938886884,0.75,0.058823529,0.044117647,15.48484848,0.064579256,12.75,3,47,0.230392157,11.75,5,5
74,13,0.129099445,0.052631579,19,21,0.91,0.62,7.47,5.00E+299,0.79,2.94,0,1,0.33299229,0.970009693,0.230769231,0.23,0.935454147,0.5,0.117647059,0.058823529,4.242424242,0.235714286,4.25,2,13,0.191176471,3.25,2,4.5
75,13,0.280056017,0.166666667,12,16,1,1,10.82,1.00E+300,1,3.64,0,0.97,0.493720982,0.968593349,0.375,0.59,0.999508196,0.75,0.25,0.1875,3.03030303,0.33,3,3,8,0.166666667,2,0,3.5
76,13,0.107211253,0.045454545,24,30,0.92,0.67,8.9,5.00E+299,0.94,3.09,0,1,0.497126862,0.977049296,0.193548387,0.28,0.998888567,0.5,0.1,0.05,5.848484848,0.170984456,5,2,16,0.2,4,2,4
77,13,0.140028008,0.0625,16,18,0.91,0.62,7.47,5.00E+299,0.82,2.94,0,0.99,0.32398781,0.959099148,0.333333333,0.2,0.635949257,0.5,0.133333333,0.066666667,3.393939394,0.294642857,3.75,2,11,0.183333333,2.75,0,4.5
78,13,0.204124145,0.1,9,9,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.97,0.466691614,0.976783052,0.545454545,0.2,0.170455312,0.5,0.222222222,0.111111111,2.03030303,0.492537313,2.25,2,5,0.138888889,1.25,0,3.5
79,13,0.204124145,0.1,9,9,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.97,0.369559981,0.975494244,0.545454545,0.11,0.157968728,0.5,0.222222222,0.111111111,2.060606061,0.485294118,2.25,2,5,0.138888889,1.25,0,3.5
80,13,0.547722558,0.3,7,7,1,1,10.82,1.00E+300,1,3.64,0,1,0.776987662,0.980383081,0.461538462,1,0.906586664,1,0.363636364,0.363636364,2.878787879,0.347368421,2.75,4,7,0.159090909,1.75,0,5
81,13,0.204124145,0.1,9,9,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.99,0.436004476,0.982611998,0.428571429,0.2,0.160409355,0.5,0.222222222,0.111111111,2.212121212,0.452054795,2.25,2,5,0.138888889,1.25,1,4
82,13,0.204124145,0.1,9,9,0.82,0.62,7.21,5.00E+299,0.71,2.94,0,0.97,0.450755415,0.981620202,0.428571429,0.2,0.174282416,0.5,0.222222222,0.111111111,2.393939394,0.417721519,2.25,2,5,0.138888889,1.25,1,3.5
83,13,0.182574186,0.111111111,9,11,0.9,0.62,7.18,5.00E+299,0.82,2.94,0,0.98,0.299503274,0.974916344,0.352941176,0.18,0.715314088,0.5,0.25,0.125,2.393939394,0.417721519,2,2,4,0.125,1,2,3.5
84,13,0.204124145,0.1,9,9,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.97,0.466691614,0.976783052,0.545454545,0.2,0.170455312,0.5,0.222222222,0.111111111,2.03030303,0.492537313,2.25,2,5,0.138888889,1.25,0,3.5
85,13,0.204124145,0.1,9,9,0.9,0.62,7.21,5.00E+299,0.82,2.94,0,0.97,0.466691614,0.976783052,0.545454545,0.2,0.170455312,0.5,0.222222222,0.111111111,2.03030303,0.492537313,2.25,2,5,0.138888889,1.25,0,3.5
86,13,0.080064077,0.03030303,39,53,0.92,0.67,8.31,5.00E+299,0.94,3.09,0,0.98,0.414454919,0.971259707,0.130434783,0.28,0.999377822,0.5,0.064516129,0.032258065,8.151515152,0.12267658,7.75,2,27,0.217741935,6.75,2,3.5
87,14,0.707106781,0.5,3,3,1,1,9.71,1.00E+300,1,3.64,0,1,0.705352103,0.981491313,0.666666667,1,0.95921431,1,0.571428571,0.571428571,1.52173913,0.657142857,1.75,4,3,0.107142857,0.75,0,5
88,14,0.774596669,0.6,2,2,1,1,9.71,1.00E+300,1,3.64,0,1,0.800473327,0.977735623,0.75,1,0.964275345,1,0.666666667,0.666666667,1.347826087,0.741935484,1.5,4,2,0.083333333,0.5,0,5
89,14,0.348155312,0.2,8,10,0.96,0.78,8.87,6.67E+299,0.96,3.27,0,0.98,0.644681575,0.949019576,0.5,0.72,0.110414844,0.75,0.333333333,0.25,2.391304348,0.418181818,2.25,3,5,0.138888889,1.25,0,5
90,14,0.5,0.3,7,9,1,1,9.71,1.00E+300,1,3.64,0,1,0.800473327,0.953026172,0.428571429,1,0.301958579,1,0.363636364,0.363636364,2.826086957,0.353846154,2.75,4,7,0.159090909,1.75,0,5
91,14,0.654653671,0.428571429,4,4,1,1,9.71,1.00E+300,1,3.64,0,1,0.800473327,0.972208233,0.666666667,1,0.861173245,1,0.571428571,0.571428571,1.608695652,0.621621622,1.75,4,3,0.107142857,0.75,0,5
92,14,0.516397779,0.333333333,4,4,0.83,0.78,6.74,6.67E+299,0.69,2.94,0,0.94,0.508364358,0.962226664,0.75,0.65,0.915732405,0.75,0.5,0.375,1.130434783,0.884615385,1.5,3,2,0.083333333,0.5,0,5
93,14,0.666666667,0.5,2,2,0.9,0.78,7.59,6.67E+299,0.8,3.04,0.5,0.93,0.644681575,0.968744461,1,0.72,0.962176715,0.75,0.75,0.5625,0.913043478,1.095238095,1,3,0,0,0,0,5
94,14,0.288675135,0.166666667,5,5,0.72,0.48,5.08,3.33E+299,0.55,2.37,0,0.77,0.226100781,0.93134597,1,0.27,0.99997911,0.5,0.5,0.25,0.869565217,1.15,1,2,0,0,0,0,0
95,14,1,1,0,0,1,1,9.71,1.00E+300,1,3.64,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,5
96,14,0.816496581,0.666666667,1,1,0.83,0.78,6.74,6.67E+299,0.69,2.94,0.5,0.92,0.702178543,0.97493448,1.2,0.65,0.999174194,0.75,1,0.75,0.608695652,1.642857143,0.75,3,1,0.083333333,0.25,0,5
97,14,0.43643578,0.25,6,6,0.83,0.78,6.74,6.67E+299,0.69,3.14,0,1,0.52008945,0.962649264,0.6,0.65,0.603753633,0.75,0.375,0.28125,1.913043478,0.522727273,2,3,4,0.125,1,0,5
98,14,0.666666667,0.5,2,2,0.9,0.78,7.59,6.67E+299,0.8,3.04,0.5,0.93,0.644681575,0.968744461,1,0.72,0.962176715,0.75,0.75,0.5625,0.913043478,1.095238095,1,3,0,0,0,0,5
99,14,0.40824829,0.25,3,3,0.67,0.49,5.58,3.33E+299,0.59,2.45,0,0.72,0.19367761,0.936623312,1.2,0.25,0.999989158,0.5,0.666666667,0.333333333,0.608695652,1.642857143,0.75,2,1,0.083333333,0.25,0,2.5
100,14,0.707106781,0.5,3,3,1,1,9.71,1.00E+300,1,3.64,0,1,0.800473327,0.977735623,0.75,1,0.964275345,1,0.666666667,0.666666667,1.347826087,0.741935484,1.5,4,2,0.083333333,0.5,0,5
101,14,0.384900179,0.25,6,8,0.96,0.78,8.87,6.67E+299,0.96,3.27,0,0.98,0.511006949,0.965870448,0.545454545,0.65,0.088777992,0.75,0.375,0.28125,2.173913043,0.46,2,3,4,0.125,1,0,5
102,14,0.866025404,0.6,1,1,1,1,9.71,1.00E+300,1,3.64,0.5,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,5
103,14,0.774596669,0.6,2,2,1,1,9.71,1.00E+300,1,3.64,0.5,1,0.800473327,0.977735623,0.75,1,0.964275345,1,0.666666667,0.666666667,1.347826087,0.741935484,1.5,4,2,0.083333333,0.5,0,5
104,14,1,1,0,0,1,1,9.71,1.00E+300,1,3.64,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,5
105,14,1,1,0,0,1,1,9.71,1.00E+300,1,3.64,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,5
106,14,0.348155312,0.166666667,10,10,0.94,0.78,8.73,6.67E+299,0.93,3.18,0,0.98,0.494123699,0.948789632,0.461538462,0.72,0.450575232,0.75,0.272727273,0.204545455,3.434782609,0.291139241,2.75,3,7,0.159090909,1.75,0,5
107,14,1,1,0,0,1,1,9.71,1.00E+300,1,3.64,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,5
